node_id,parent_id,edge_weight,vertex_label
1,,,1
2,1.0,2.0,1
3,1.0,92.0,91
4,1.0,183.0,182
5,2.0,3.0,2
6,2.0,43.0,42
7,2.0,83.0,82
8,3.0,124.0,33
9,3.0,164.0,73
10,3.0,205.0,114
11,4.0,364.0,182
12,4.0,324.0,142
13,4.0,284.0,102
14,5.0,4.0,2
15,5.0,17.0,15
16,5.0,30.0,28
17,6.0,44.0,2
18,6.0,57.0,15
19,6.0,70.0,28
20,7.0,84.0,2
21,7.0,98.0,16
22,7.0,111.0,29
23,8.0,125.0,92
24,8.0,138.0,105
25,8.0,151.0,118
26,9.0,165.0,92
27,9.0,178.0,105
28,9.0,192.0,119
29,10.0,206.0,92
30,10.0,219.0,105
31,10.0,232.0,118
32,11.0,363.0,181
33,11.0,350.0,168
34,11.0,337.0,155
35,12.0,323.0,181
36,12.0,310.0,168
37,12.0,297.0,155
38,13.0,283.0,181
39,13.0,270.0,168
40,13.0,257.0,155
41,14.0,5.0,3
42,14.0,9.0,7
43,14.0,13.0,11
44,15.0,18.0,3
45,15.0,22.0,7
46,15.0,26.0,11
47,16.0,31.0,3
48,16.0,35.0,7
49,16.0,39.0,11
50,17.0,45.0,43
51,17.0,49.0,47
52,17.0,53.0,51
53,18.0,58.0,43
54,18.0,62.0,47
55,18.0,66.0,51
56,19.0,71.0,43
57,19.0,75.0,47
58,19.0,79.0,51
59,20.0,85.0,83
60,20.0,89.0,87
61,20.0,94.0,92
62,21.0,99.0,83
63,21.0,103.0,87
64,21.0,107.0,91
65,22.0,112.0,83
66,22.0,116.0,87
67,22.0,120.0,91
68,23.0,126.0,34
69,23.0,130.0,38
70,23.0,134.0,42
71,24.0,139.0,34
72,24.0,143.0,38
73,24.0,147.0,42
74,25.0,152.0,34
75,25.0,156.0,38
76,25.0,160.0,42
77,26.0,166.0,74
78,26.0,170.0,78
79,26.0,174.0,82
80,27.0,179.0,74
81,27.0,184.0,79
82,27.0,188.0,83
83,28.0,193.0,74
84,28.0,197.0,78
85,28.0,201.0,82
86,29.0,207.0,115
87,29.0,211.0,119
88,29.0,215.0,123
89,30.0,220.0,115
90,30.0,224.0,119
91,30.0,228.0,123
92,31.0,233.0,115
93,31.0,237.0,119
94,31.0,241.0,123
95,32.0,362.0,181
96,32.0,358.0,177
97,32.0,354.0,173
98,33.0,349.0,181
99,33.0,345.0,177
100,33.0,341.0,173
101,34.0,336.0,181
102,34.0,332.0,177
103,34.0,328.0,173
104,35.0,322.0,141
105,35.0,318.0,137
106,35.0,314.0,133
107,36.0,309.0,141
108,36.0,305.0,137
109,36.0,301.0,133
110,37.0,296.0,141
111,37.0,292.0,137
112,37.0,288.0,133
113,38.0,282.0,101
114,38.0,278.0,97
115,38.0,274.0,93
116,39.0,269.0,101
117,39.0,265.0,97
118,39.0,261.0,93
119,40.0,256.0,101
120,40.0,252.0,97
121,40.0,248.0,93
122,41.0,6.0,3
123,41.0,7.0,4
124,41.0,8.0,5
125,42.0,10.0,3
126,42.0,11.0,4
127,42.0,12.0,5
128,43.0,14.0,3
129,43.0,15.0,4
130,43.0,16.0,5
131,44.0,19.0,16
132,44.0,20.0,17
133,44.0,21.0,18
134,45.0,23.0,16
135,45.0,24.0,17
136,45.0,25.0,18
137,46.0,27.0,16
138,46.0,28.0,17
139,46.0,29.0,18
140,47.0,32.0,29
141,47.0,33.0,30
142,47.0,34.0,31
143,48.0,36.0,29
144,48.0,37.0,30
145,48.0,38.0,31
146,49.0,40.0,29
147,49.0,41.0,30
148,49.0,42.0,31
149,50.0,46.0,3
150,50.0,47.0,4
151,50.0,48.0,5
152,51.0,50.0,3
153,51.0,51.0,4
154,51.0,52.0,5
155,52.0,54.0,3
156,52.0,55.0,4
157,52.0,56.0,5
158,53.0,59.0,16
159,53.0,60.0,17
160,53.0,61.0,18
161,54.0,63.0,16
162,54.0,64.0,17
163,54.0,65.0,18
164,55.0,67.0,16
165,55.0,68.0,17
166,55.0,69.0,18
167,56.0,72.0,29
168,56.0,73.0,30
169,56.0,74.0,31
170,57.0,76.0,29
171,57.0,77.0,30
172,57.0,78.0,31
173,58.0,80.0,29
174,58.0,81.0,30
175,58.0,82.0,31
176,59.0,86.0,3
177,59.0,87.0,4
178,59.0,88.0,5
179,60.0,90.0,3
180,60.0,91.0,4
181,60.0,93.0,6
182,61.0,95.0,3
183,61.0,96.0,4
184,61.0,97.0,5
185,62.0,100.0,17
186,62.0,101.0,18
187,62.0,102.0,19
188,63.0,104.0,17
189,63.0,105.0,18
190,63.0,106.0,19
191,64.0,108.0,17
192,64.0,109.0,18
193,64.0,110.0,19
194,65.0,113.0,30
195,65.0,114.0,31
196,65.0,115.0,32
197,66.0,117.0,30
198,66.0,118.0,31
199,66.0,119.0,32
200,67.0,121.0,30
201,67.0,122.0,31
202,67.0,123.0,32
203,68.0,127.0,93
204,68.0,128.0,94
205,68.0,129.0,95
206,69.0,131.0,93
207,69.0,132.0,94
208,69.0,133.0,95
209,70.0,135.0,93
210,70.0,136.0,94
211,70.0,137.0,95
212,71.0,140.0,106
213,71.0,141.0,107
214,71.0,142.0,108
215,72.0,144.0,106
216,72.0,145.0,107
217,72.0,146.0,108
218,73.0,148.0,106
219,73.0,149.0,107
220,73.0,150.0,108
221,74.0,153.0,119
222,74.0,154.0,120
223,74.0,155.0,121
224,75.0,157.0,119
225,75.0,158.0,120
226,75.0,159.0,121
227,76.0,161.0,119
228,76.0,162.0,120
229,76.0,163.0,121
230,77.0,167.0,93
231,77.0,168.0,94
232,77.0,169.0,95
233,78.0,171.0,93
234,78.0,172.0,94
235,78.0,173.0,95
236,79.0,175.0,93
237,79.0,176.0,94
238,79.0,177.0,95
239,80.0,180.0,106
240,80.0,181.0,107
241,80.0,182.0,108
242,81.0,185.0,106
243,81.0,186.0,107
244,81.0,187.0,108
245,82.0,189.0,106
246,82.0,190.0,107
247,82.0,191.0,108
248,83.0,194.0,120
249,83.0,195.0,121
250,83.0,196.0,122
251,84.0,198.0,120
252,84.0,199.0,121
253,84.0,200.0,122
254,85.0,202.0,120
255,85.0,203.0,121
256,85.0,204.0,122
257,86.0,208.0,93
258,86.0,209.0,94
259,86.0,210.0,95
260,87.0,212.0,93
261,87.0,213.0,94
262,87.0,214.0,95
263,88.0,216.0,93
264,88.0,217.0,94
